X0,,,3 mm pin,,,,,,,
channel,effective area,effective area err,rate spectrum at 10 arcmin,err,5 arcmin,err,2 arcmin,err,0 arcmin,err
0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
1,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
2,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
112,8.821332,0.985104748,10.58333333,0.419986772,20.68333333,0.587130498,26.53333333,0.664997911,27.61666667,0.678437748
113,7.792883438,0.870731869,9.5,0.397911213,19.06666667,0.563717818,24.51666667,0.639226964,26.53333333,0.664997911
114,7.604796884,0.939205544,8.266666667,0.371184291,18.58333333,0.556526929,24.63333333,0.640746093,24.75,0.642261629
115,7.441307669,0.875019221,8.016666667,0.365528537,16.28333333,0.520949987,24.31666667,0.636614308,23.25,0.62249498
116,7.7752125,0.906079074,8.016666667,0.365528537,16.2,0.519615242,22.98333333,0.618914821,22.63333333,0.614184192
117,6.725053929,0.837330399,7.25,0.347610894,16.16666667,0.519080383,20.75,0.588075959,22.08333333,0.606675824
118,6.878509161,0.902114842,7.633333333,0.356682243,15.38333333,0.506348584,20.78333333,0.588548119,20.81666667,0.589019902
119,5.82358198,0.769596826,6.283333333,0.323608131,14.03333333,0.483620604,19.26666667,0.566666667,19.73333333,0.573488351
120,5.954175888,0.773773179,5.416666667,0.300462606,13.33333333,0.471404521,18.88333333,0.561001089,18.23333333,0.55126118
121,5.906924029,0.804684392,5.083333333,0.29107082,12.46666667,0.455826478,17.53333333,0.540575825,17.36666667,0.538000413
122,4.6651275,0.687835524,5.35,0.298607881,11.91666667,0.445658065,15.91666667,0.515051238,15.91666667,0.515051238
123,4.366080865,0.619135615,4.483333333,0.273353658,10.6,0.42031734,14.21666667,0.486769396,14.16666667,0.485912658
124,4.07377331,0.620114555,4.366666667,0.269773568,9.616666667,0.400347072,14.41666667,0.490181372,13.58333333,0.475803414
125,4.874013806,0.71878734,4.2,0.264575131,8.316666667,0.372305132,12.63333333,0.45886333,12.31666667,0.453075907
126,4.472353636,0.714259409,3.483333333,0.240947205,7.433333333,0.351978535,11.85,0.444409721,11.93333333,0.445969605
127,3.063665821,0.532319843,3.466666667,0.240370085,7.216666667,0.346810867,10.81666667,0.424591307,10.81666667,0.424591307
128,4.806495,0.828459799,3,0.223606798,7.233333333,0.347211111,10.6,0.42031734,10.81666667,0.424591307
129,3.235491653,0.572602776,2.683333333,0.211476292,6.316666667,0.324465372,9.566666667,0.399304952,9.466666667,0.39721251
130,3.63879945,0.686962795,2.6,0.2081666,6.4,0.326598632,8.533333333,0.377123617,8.483333333,0.376017139
131,3.668305385,0.638392004,2.433333333,0.2013841,5.6,0.305505046,8,0.365148372,9.016666667,0.387656778
132,3.174210464,0.63968263,2.166666667,0.190029238,5.5,0.302765035,7.833333333,0.361324723,8.25,0.370809924
133,3.302745133,0.607647281,2.183333333,0.190758719,4.883333333,0.285287379,7.333333333,0.349602949,7.483333333,0.353160335
134,2.511991731,0.534822273,2.166666667,0.190029238,5.333333333,0.298142397,7.366666667,0.350396601,7.5,0.353553391
135,3.110085,0.625150607,2.05,0.184842275,4.266666667,0.266666667,7.3,0.348807492,7.066666667,0.343187671
136,1.883993798,0.450721379,1.95,0.180277564,3.983333333,0.257660414,6.883333333,0.338706691,6.333333333,0.324893145
137,2.67812875,0.545690166,1.683333333,0.167497927,3.866666667,0.253859104,6.133333333,0.319722102,6.333333333,0.324893145
138,1.176082563,0.322233805,1.3,0.147196014,3.7,0.24832774,5.716666667,0.308670986,6.5,0.329140294
139,2.146784336,0.466949508,1.716666667,0.169148193,4.183333333,0.264049659,5.4,0.3,5.233333333,0.295334086
140,2.169826744,0.53865881,1.25,0.144337567,2.983333333,0.222984803,4.733333333,0.280871659,5.45,0.301385689
141,1.954910571,0.458376945,1.216666667,0.142400062,3.116666667,0.227913239,4.8,0.282842712,5.25,0.295803989
142,2.681107759,0.608406227,1.266666667,0.145296631,2.883333333,0.219215774,4.633333333,0.277888867,4.316666667,0.268224616
143,2.7368748,0.663588461,1.2,0.141421356,3.433333333,0.239211668,4.35,0.26925824,4.116666667,0.261937227
144,1.735861395,0.472613272,0.933333333,0.124721913,2.25,0.193649167,3.7,0.24832774,4.416666667,0.271313677
145,1.405928836,0.454721207,1.066666667,0.133333333,2.266666667,0.194365063,3.716666667,0.248886409,3.9,0.254950976
146,1.516166438,0.453389735,0.95,0.125830574,2.2,0.191485422,3.5,0.241522946,3.816666667,0.252212433
147,1.022493699,0.380799813,0.933333333,0.124721913,2.316666667,0.196497102,3.4,0.238047614,3.2,0.230940108
148,1.203903871,0.452272303,0.633333333,0.102740233,2.033333333,0.18408935,2.933333333,0.221108319,2.85,0.217944947
149,1.722508615,0.541202089,0.8,0.115470054,1.866666667,0.176383421,2.65,0.21015867,2.866666667,0.218581284
150,1.5550425,0.531148131,0.65,0.1040833,1.733333333,0.169967317,2.616666667,0.208832735,2.816666667,0.216666667
151,0.696287687,0.322799282,0.533333333,0.094280904,1.833333333,0.174801475,2.466666667,0.202758751,2.516666667,0.204803429
152,1.022493699,0.380799813,0.466666667,0.08819171,1.283333333,0.146249406,2.35,0.197905701,2.483333333,0.203442594
153,1.18270838,0.418477621,0.533333333,0.094280904,1.5,0.158113883,2.333333333,0.197202659,2.05,0.184842275
154,1.216989783,0.52824338,0.55,0.095742711,1.666666667,0.166666667,1.916666667,0.178730088,2.133333333,0.188561808
155,1.44779819,0.518692752,0.366666667,0.078173596,0.916666667,0.123603308,1.833333333,0.174801475,1.983333333,0.181811869
156,0.764775,0.355758865,0.483333333,0.089752747,1.333333333,0.149071198,1.6,0.163299316,1.583333333,0.162446572
157,0.752439919,0.349806909,0.383333333,0.079930525,0.766666667,0.113038833,1.733333333,0.169967317,1.8,0.173205081
158,0.63615375,0.379598122,0.316666667,0.072648316,1,0.129099445,1.466666667,0.156347192,1.95,0.180277564
159,0.761653469,0.396065782,0.3,0.070710678,0.833333333,0.11785113,1.433333333,0.154560308,1.35,0.15
160,0,0,0.316666667,0.072648316,0.833333333,0.11785113,1.516666667,0.158989867,1.1,0.13540064
161,0.9330255,0.437627751,0.316666667,0.072648316,0.833333333,0.11785113,1.033333333,0.131233465,1.4,0.152752523
162,1.332893571,0.581722446,0.25,0.064549722,0.683333333,0.106718737,1.35,0.15,1.016666667,0.130170828
163,0.45513439,0.329584633,0.2,0.057735027,0.783333333,0.11426091,1.033333333,0.131233465,1.166666667,0.139443338
164,0.848205,0.51148686,0.25,0.064549722,0.516666667,0.092796073,0.866666667,0.120185043,0.933333333,0.124721913
165,0.77752125,0.467232122,0.116666667,0.044095855,0.816666667,0.116666667,1.033333333,0.131233465,1.016666667,0.130170828
166,0.252169054,0.255554025,0.15,0.05,0.483333333,0.089752747,1.1,0.13540064,0.8,0.115470054
167,0.239237308,0.24228504,0.083333333,0.0372678,0.516666667,0.092796073,0.783333333,0.11426091,1.033333333,0.131233465
168,1.216989783,0.747048952,0.2,0.057735027,0.5,0.091287093,0.633333333,0.102740233,0.766666667,0.113038833
169,0.902927903,0.545947722,0.133333333,0.047140452,0.366666667,0.078173596,0.733333333,0.11055416,0.633333333,0.102740233
170,0,0,0.083333333,0.0372678,0.316666667,0.072648316,0.5,0.091287093,0.683333333,0.106718737
171,0.388760625,0.396777151,0.1,0.040824829,0.25,0.064549722,0.366666667,0.078173596,0.55,0.095742711
172,0.811326522,0.598117847,0.216666667,0.060092521,0.366666667,0.078173596,0.583333333,0.09860133,0.566666667,0.097182532
173,0.300975968,0.305791889,0.066666667,0.033333333,0.266666667,0.066666667,0.333333333,0.074535599,0.45,0.08660254
174,0,0,0.066666667,0.033333333,0.216666667,0.060092521,0.433333333,0.084983659,0.35,0.076376262
175,0.4241025,0.433634083,0.066666667,0.033333333,0.15,0.05,0.483333333,0.089752747,0.433333333,0.084983659
176,0.388760625,0.396777151,0.033333333,0.023570226,0.25,0.064549722,0.433333333,0.084983659,0.4,0.081649658
177,0,0,0.116666667,0.044095855,0.233333333,0.062360956,0.45,0.08660254,0.483333333,0.089752747
178,0,0,0.05,0.028867513,0.166666667,0.052704628,0.35,0.076376262,0.25,0.064549722
179,0,0,0.016666667,0.016666667,0.15,0.05,0.283333333,0.068718427,0.383333333,0.079930525
180,0.5183475,0.532551431,0.1,0.040824829,0.166666667,0.052704628,0.3,0.070710678,0.333333333,0.074535599
181,0,0,0.05,0.028867513,0.233333333,0.062360956,0.35,0.076376262,0.283333333,0.068718427
182,0,0,0.05,0.028867513,0.133333333,0.047140452,0.2,0.057735027,0.316666667,0.072648316
183,0,0,0.033333333,0.023570226,0.05,0.028867513,0.35,0.076376262,0.4,0.081649658
184,0,0,0.05,0.028867513,0.133333333,0.047140452,0.333333333,0.074535599,0.233333333,0.062360956
185,0.9330255,0.9785654,0.016666667,0.016666667,0.116666667,0.044095855,0.283333333,0.068718427,0.283333333,0.068718427
