,energy,-9 arc min,-9 arc min err,-7 arc min,-7 arc min err,-5 arc min ,-5 arc min  err,-3 arc min,-3 arc min err,-1 arc min,-1 arc min err,on-axis,on-axis err,+1 arc min,+1 arc min err,+3 arc min,+3 arc min err,+5 arc min,+5 arc min err,+7 arc min ,+7 arc min  err,+9 arc min ,+9 arc min  err
102,10.5819,4.31373289527757,0.43466784827813,6.5898231164039265,0.6046024918449139,7.608644453479534,0.6795677299890385,9.884734674605891,0.8457768305211678,10.816847812781447,0.9135090962635241,11.532190453706871,0.9653968773666672,11.575544553156899,0.9685393295228004,9.494547779555658,0.8173758056164216,8.128893646879844,0.7176884050748102,5.419262431253229,0.5177652246488227,3.901868950502325,0.4033060663978577
103,10.6892,4.560063005789082,0.4927945884644464,6.712002851217635,0.6670731370969795,9.811820961894483,0.9136892917631431,11.195210862527125,1.0229345162651784,13.1678223875033,1.1782170836102508,12.988494067050922,1.164119288170621,12.73231075211895,1.1439737469960858,10.63160756967679,0.9784686466998866,8.556522718727825,0.8142023941788461,6.045926232394511,0.6135317704567418,4.3807346853367015,0.4780535667114119
104,10.7965,4.018796878821976,0.40403312799925245,5.49721438346633,0.513158033340785,6.850695197577358,0.6114268319478081,8.141707666421723,0.7043237440720359,10.16151749671049,0.8486715879962191,9.307783444732763,0.7877731386307109,9.745061861599403,0.8189830526979398,7.683606467799529,0.6714318302722077,6.538353471244044,0.5888447724711643,4.685125894999713,0.45352775679797086,3.2067083903553595,0.3426771898705531
105,10.9038,3.160573511511631,0.3272701042635929,4.16885463174847,0.4006943539042328,6.088466764507068,0.5367483091129034,6.9610177339427945,0.5977026421774382,8.163199069609796,0.6811480564875154,8.958189952873457,0.7360807986830715,8.279539198867893,0.6891977320224653,7.310038121717086,0.6219839853572603,4.944455493469116,0.4560901629432776,4.130074588662438,0.3979041618053074,3.1411834899686153,0.3258362136090648
106,11.0111,4.043241013926322,0.45573418696374896,4.90964980262482,0.5278449809529595,7.613895415835283,0.7483129155891742,9.635515922798444,0.910848116370856,10.711963205726882,0.9969702199622421,10.528179523275686,0.9822822927513349,11.210804629522986,1.0368085542256453,7.666405039392767,0.7525519715940845,6.432428885791877,0.6525924276114473,4.332043943492488,0.47989557264213634,2.7830100485466893,0.34810040972875356
107,11.1184,2.400270304978189,0.28272986729336014,3.6747501129312097,0.3819879755064007,5.586469824860741,0.5248727580637577,6.308675049367452,0.577928661911951,7.39198288612752,0.6569592860565986,7.222052245067117,0.6445980861029373,7.370741555994969,0.6554147778471981,6.77598431228356,0.6120901517935278,5.374056523535237,0.5091956074511609,3.1649581897500014,0.3428766628092407,2.6126836063036922,0.29966475199716075
108,11.2257,2.35085865466985,0.2875646777303732,3.616705622569,0.38949071056621276,4.3400467470828,0.4459052592967863,6.125795148226244,0.5823576164580545,7.0525759640095504,0.65222876019132,7.617686217535956,0.6946290938089644,7.278620065420112,0.6692050389165608,5.696311355546175,0.5498002157199847,4.317442336941744,0.44415541262964675,3.345452700876325,0.36806594504004786,2.396067474951962,0.29131249861050024
109,11.333,2.750112453064892,0.3399850436241158,3.4376405663311145,0.3984031698538746,4.710840776083379,0.5036305607085592,7.0280651578325015,0.6903007239412258,7.766521279488814,0.7490883215499291,7.104457170417637,0.6963935824566514,6.97713714944241,0.6862372251442702,6.569713082321686,0.653680356612608,4.430736729937881,0.48071396168148917,3.539496583111296,0.4069396178782136,2.2153683649689406,0.2932192915011697
110,11.4403,2.7116762203176537,0.34400078868289913,2.924356708185705,0.3626699574099424,4.492875306212583,0.4963858270259153,6.087978965222967,0.6284528537778469,6.991871038662185,0.7023817171425151,6.300659453091019,0.6458934266487657,6.460169818992057,0.6589542480271343,5.742373172437384,0.6000419422826597,4.413120123262064,0.48970532129764754,3.535813110806352,0.4154859524731741,2.4192405494990834,0.31800196179877416
111,11.547600000000001,2.035234113070657,0.28048858115735775,2.9745729344878837,0.3636379745432303,3.940004500944477,0.44567975407245514,5.140270772755378,0.5451833711207549,5.818682143778929,0.6006826107374192,5.923053123936399,0.6091861102526388,6.183980574330073,0.6304096960683082,5.21854900787348,0.5516092578561033,3.6268915604720684,0.41932708136290725,3.157222149763455,0.3793570560013449,1.6177501924407787,0.2415917597978354
