channel,energy,-9 arc min,-9 arc min err,-7 arc min,-7 arc min err,-5 arc min ,-5 arc min  err,-3 arc min,-3 arc min err,-1 arc min,-1 arc min err,on-axis,on-axis err,+1 arc min,+1 arc min err,+3 arc min,+3 arc min err,+5 arc min,+5 arc min err,+7 arc min ,+7 arc min  err,+9 arc min ,+9 arc min  err
35.0,3.2855,1.66636663948365,2.7767777771840327,1.9232115543952393,3.6987426829593524,2.4637474702149404,6.070051596990519,2.8257160818676996,7.984671375325744,3.307789131852942,10.94146894080444,3.265272415128522,10.662003944999253,2.9604657988666574,8.764357746259195,2.9179182748485375,8.514247058695066,2.051401863256448,4.208249604572027,2.051401863256448,4.208249604572027,1.5161536532012017,2.29872190011535
36.0,3.3928000000000003,1.8305420360768039,3.3508841458442107,2.1439089322511595,4.596345509786307,2.669626666456288,7.126906538254513,3.024278969796029,9.14626328715053,3.2227524500471336,10.386133354284803,3.4282365795629666,11.752806045453589,3.3007032326519363,10.894641830038942,2.967556624043374,8.806392316903707,2.1367950091435666,4.565892911100855,2.1367950091435666,4.565892911100855,1.7948775465650446,3.221585407163354
37.0,3.5001000000000007,1.538292949444878,2.366345198311822,1.8588826360075392,3.4554446544503374,2.299060408008823,5.285678759673696,2.5397264394070396,6.450210387023159,2.6652161291087215,7.103377014861278,2.738398455731652,7.498826102353497,2.738398455731652,7.498826102353497,2.4926555442582017,6.213331662321152,1.7381270353092855,3.0210855908730463,1.7381270353092855,3.0210855908730463,1.6487839828322226,2.718488622044087
38.0,3.6074,1.4007762342249683,1.9621740583694833,1.7694304328828647,3.130884056812042,2.2103053042665275,4.885449538068746,2.370798704777053,5.620686498572551,2.508291790219505,6.29152770488257,2.8975775992845483,8.395955943875606,2.595341189260092,6.735795888669989,2.320368559539091,5.384110252097515,1.7234289286408335,2.9702072720760913,1.7234289286408335,2.9702072720760913,1.368431044625709,1.8726035238954093
39.0,3.7147000000000006,1.4278888144855901,2.038866466533064,1.4483770760490722,2.0977961544244597,1.687070765998424,2.8462077694865093,2.0680919001970897,4.277004107660809,2.305881158107814,5.317087915316632,2.237962021529688,5.008474009809247,2.1258603080703002,4.519282049428752,2.0001105198087035,4.000442091449442,1.4722734607967847,2.1675891433665413,1.4722734607967847,2.1675891433665413,0.992408397960956,0.9848744283434313
40.0,3.822,1.325766374844293,1.7576564806677784,1.6437849146152208,2.7020288455165686,2.1817363269144043,4.759973400177957,2.4943291391501403,6.22167785441348,2.725844261399457,7.430226937404352,2.523734874042455,6.3692377144580865,2.553138438152582,6.5185158843722055,2.3362326698094575,5.457983087485026,1.7065207428353997,2.9122130457274844,1.7065207428353997,2.9122130457274844,1.3887361303706904,1.9285880397969593
41.0,3.9293000000000005,1.6597631832292714,2.754813824403364,1.7583748392976228,3.091882075474941,2.4282058866934517,5.896183828172732,2.7153306400005373,7.3730204845257274,2.8928057295760525,8.368324989068038,2.8248434469289263,7.979740499657297,3.028707255135258,9.173067637308948,2.719107337480574,7.393544712740695,1.8379687438956538,3.3781291035373675,1.8379687438956538,3.3781291035373675,1.435639533159407,2.0610608691701597
42.0,4.036600000000001,1.1314491823249115,1.280177252183711,1.3028250958622773,1.6973532304085521,1.6374984310578005,2.681401111716758,1.8500356708321901,3.4226319833515118,1.913051662221238,3.659766662327441,1.945719871911134,3.7858258199498795,1.973717756026562,3.895561780454527,1.7916709317555903,3.210084727697945,1.2934463541669432,1.6730034711077575,1.2934463541669432,1.6730034711077575,0.9689085034766195,0.9387836881093024
43.0,4.1439,1.5022115181995939,2.256639445411529,1.9358512797346434,3.747520177250257,2.452361271005303,6.014075803526745,2.603934639140074,6.780475604913547,2.9037212796469585,8.43159726987457,3.0712814317193993,9.432769632824362,2.9004985747078327,8.412891981882169,2.7071053846528215,7.3284195636163005,2.0876792098192483,4.358404483111521,2.0876792098192483,4.358404483111521,1.5443484419334663,2.385012110102325
44.0,4.251200000000001,0.9245538109514952,0.8547997493449332,1.057947965178444,1.1192538970252102,1.488521720700413,2.215696912996919,1.6227087104421682,2.6331835589448844,1.7621517261793744,3.105178706076949,1.8568494868083307,3.447890016660361,1.796104349656935,3.225990834856562,1.576203856213071,2.484418596340955,1.18198981924154,1.3970999327906481,1.18198981924154,1.3970999327906481,0.937192513194171,0.8783298067872063
